timestamp;gameobject_name;pos_x;pos_y;pos_z;euler_x;euler_y;euler_z
1573136158005;Player;-0.81;0.992152;-2.22;0;0;0;
1573136158012;Player;-0.81;0.9799999;-2.22;0;0;0;
1573136158012;Player;-0.81;0.9799999;-2.22;0;0;0;
1573136158751;Player;-0.81;0.9799999;-2.22;0;0;0;
1573136158751;Player;-0.81;0.9799999;-2.22;0;0;0;
1573136158777;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158777;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158794;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158794;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158810;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158810;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158834;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158834;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158850;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158850;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158867;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158867;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158884;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158884;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158901;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158901;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158918;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158918;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158935;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158935;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158952;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158952;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158969;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158969;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158986;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136158986;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136159003;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136159003;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136159019;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136159019;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136159037;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136159037;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136159054;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136159054;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136159071;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136159071;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573136159088;Player;-0.81;0.9799999;-2.22;0;356.1;0;
