timestamp;gameobject_name;pos_x;pos_y;pos_z;euler_x;euler_y;euler_z
1573216155712;Player;-0.81;0.992152;-2.22;0;0;0;
1573216155719;Player;-0.81;0.9799999;-2.22;0;0;0;
1573216155719;Player;-0.81;0.9799999;-2.22;0;0;0;
1573216156302;Player;-0.81;0.9799999;-2.22;0;33.6;0;
1573216156302;Player;-0.81;0.9799999;-2.22;0;33.6;0;
1573216156328;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156328;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156344;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156344;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156361;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156361;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156378;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156378;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156402;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156402;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156418;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156418;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156435;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156435;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156452;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156452;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156468;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156468;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156486;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156486;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156503;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156503;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156520;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156520;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156537;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156537;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156554;Player;-0.81;0.9799999;-2.22;0;37.1;0;
1573216156554;Player;-0.81;0.9799999;-2.22;0;37.1;0;
