timestamp;gameobject_name;pos_x;pos_y;pos_z;euler_x;euler_y;euler_z
1573055937943;Player;-0.81;0.992152;-2.22;0;0;0;
1573055937949;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055937949;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938562;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938562;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938593;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938593;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938618;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938618;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938637;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938637;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938668;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938668;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938685;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938685;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938702;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938702;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938718;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938718;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938735;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938735;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938752;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938752;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938769;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938769;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938786;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938786;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938803;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938803;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938820;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938820;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938837;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938837;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938853;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938853;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938870;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938870;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938887;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938887;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938904;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938904;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938921;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938921;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938940;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938940;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938955;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938955;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938972;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938972;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938988;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055938988;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939006;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939006;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939023;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939023;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939040;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939040;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939056;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939056;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939073;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939073;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939090;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939090;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939107;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939107;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939124;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939124;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939141;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939141;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939158;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939158;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939175;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939175;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939191;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939191;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939208;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939208;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939226;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939226;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939243;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939243;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939259;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939259;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939276;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939276;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939292;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939292;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939309;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939309;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939326;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939326;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939343;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939343;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939360;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939360;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939377;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939377;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939394;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939394;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939410;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939410;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939427;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939427;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939444;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939444;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939461;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939461;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939477;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939477;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939494;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939494;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939511;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939511;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939527;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939527;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939544;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939544;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939561;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939561;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939578;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939578;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939595;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939595;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939612;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939612;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939629;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939629;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939646;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939646;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939663;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939663;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939680;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939680;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939696;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939696;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939714;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939714;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939731;Player;-0.81;0.9799999;-2.22;0;0;0;
1573055939731;Player;-0.81;0.9799999;-2.22;0;0;0;
