timestamp;gameobject_name;pos_x;pos_y;pos_z;euler_x;euler_y;euler_z
1573057000494;Player;-0.81;0.992152;-2.22;0;0;0;
1573057000500;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057000500;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001117;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001117;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001143;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001143;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001177;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001177;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001194;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001194;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001225;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001248;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001262;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001262;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001278;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001278;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001295;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001295;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001311;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001311;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001328;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001328;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001345;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001345;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001362;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001362;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001379;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001379;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001396;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001396;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001413;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001413;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001430;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001430;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001446;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001447;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001463;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001463;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001480;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001480;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001497;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001497;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001514;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001514;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001532;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001532;Player;-0.81;0.9799999;-2.22;0;0;0;
1573057001548;Player;-0.81;0.9799999;-2.22;0;0;0;
