timestamp;gameobject_name;pos_x;pos_y;pos_z;euler_x;euler_y;euler_z
1572971444249;Player;-0.81;0.992152;-2.22;0;0;0;
1572971444255;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444255;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444786;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444786;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444807;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444807;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444824;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444824;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444841;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444841;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444858;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444869;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444874;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444874;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444891;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444891;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444908;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444908;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444925;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444925;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444942;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444942;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444958;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444958;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444975;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444975;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444991;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971444991;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971445008;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971445008;Player;-0.81;0.9799999;-2.22;0;0;0;
1572971445025;Player;-0.81;0.9799999;-2.22;0;0;0;
