timestamp;gameobject_name;pos_x;pos_y;pos_z;euler_x;euler_y;euler_z
1573469680608;Player;-0.81;0.992152;-2.22;0;0;0;
1573469680614;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469680614;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681310;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681310;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681333;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681333;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681350;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681350;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681366;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681366;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681383;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681394;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681400;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681400;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681417;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681417;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681434;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681434;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681451;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681451;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681468;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681468;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681485;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681485;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681502;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681502;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681519;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681519;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681536;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681536;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681553;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681553;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681571;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681571;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681588;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681588;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681605;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681605;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681621;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681621;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681639;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681639;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681656;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681656;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681673;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681673;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681690;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681690;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681706;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681706;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681723;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681723;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681740;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681740;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681757;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681757;Player;-0.81;0.9799999;-2.22;0;0;0;
1573469681774;Player;-0.81;0.9799999;-2.22;0;0;0;
