timestamp;gameobject_name;pos_x;pos_y;pos_z;euler_x;euler_y;euler_z
1573219945253;Player;-0.81;0.992152;-2.22;0;0;0;
1573219945260;Player;-0.81;0.9799999;-2.22;0;0;0;
1573219945260;Player;-0.81;0.9799999;-2.22;0;0;0;
1573219945852;Player;-0.81;0.9799999;-2.22;0;0;0;
1573219945852;Player;-0.81;0.9799999;-2.22;0;0;0;
1573219945878;Player;-0.81;0.9799999;-2.22;0;355.7;0;
1573219945878;Player;-0.81;0.9799999;-2.22;0;355.7;0;
1573219945895;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219945895;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219945911;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219945911;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219945930;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219945930;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219945946;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219945946;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219945963;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219945963;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219945980;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219945980;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219945997;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219945997;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946014;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946014;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946031;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946031;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946048;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946048;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946065;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946065;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946081;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946081;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946098;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946098;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946115;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946115;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946131;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946131;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946149;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946149;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946165;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946165;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946183;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946183;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946199;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946199;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946216;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946216;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946233;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946233;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946249;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946250;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946266;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946266;Player;-0.81;0.9799999;-2.22;0;356.2;0;
1573219946283;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573219946283;Player;-0.81;0.9799999;-2.22;0;356.1;0;
1573219946300;Player;-0.81;0.9799999;-2.22;0;355.3;0;
1573219946300;Player;-0.81;0.9799999;-2.22;0;355.3;0;
1573219946317;Player;-0.81;0.9799999;-2.22;0;353.9;0;
1573219946317;Player;-0.81;0.9799999;-2.22;0;353.9;0;
1573219946333;Player;-0.81;0.9799999;-2.22;0;348.8;0;
1573219946333;Player;-0.81;0.9799999;-2.22;0;348.8;0;
1573219946350;Player;-0.81;0.9799999;-2.22;0;346.9;0;
1573219946350;Player;-0.81;0.9799999;-2.22;0;346.9;0;
1573219946368;Player;-0.81;0.9799999;-2.22;0;342.7;0;
1573219946368;Player;-0.81;0.9799999;-2.22;0;342.7;0;
1573219946385;Player;-0.81;0.9799999;-2.22;0;338.9;0;
1573219946385;Player;-0.81;0.9799999;-2.22;0;338.9;0;
1573219946401;Player;-0.81;0.9799999;-2.22;0;335.6;0;
1573219946401;Player;-0.81;0.9799999;-2.22;0;335.6;0;
1573219946419;Player;-0.81;0.9799999;-2.22;0;331.7;0;
1573219946419;Player;-0.81;0.9799999;-2.22;0;331.7;0;
1573219946435;Player;-0.81;0.9799999;-2.22;0;326.6;0;
1573219946435;Player;-0.81;0.9799999;-2.22;0;326.6;0;
1573219946451;Player;-0.81;0.9799999;-2.22;0;319.8;0;
1573219946452;Player;-0.81;0.9799999;-2.22;0;319.8;0;
1573219946469;Player;-0.81;0.9799999;-2.22;0;309.2;0;
1573219946469;Player;-0.81;0.9799999;-2.22;0;309.2;0;
1573219946486;Player;-0.81;0.9799999;-2.22;0;297.3;0;
1573219946486;Player;-0.81;0.9799999;-2.22;0;297.3;0;
1573219946502;Player;-0.81;0.9799999;-2.22;0;292.8;0;
1573219946502;Player;-0.81;0.9799999;-2.22;0;292.8;0;
1573219946519;Player;-0.81;0.9799999;-2.22;0;284.9;0;
1573219946519;Player;-0.81;0.9799999;-2.22;0;284.9;0;
1573219946536;Player;-0.81;0.9799999;-2.22;0;279.4;0;
1573219946536;Player;-0.81;0.9799999;-2.22;0;279.4;0;
1573219946552;Player;-0.81;0.9799999;-2.22;0;277.2;0;
1573219946552;Player;-0.81;0.9799999;-2.22;0;277.2;0;
1573219946569;Player;-0.81;0.9799999;-2.22;0;276.7;0;
1573219946569;Player;-0.81;0.9799999;-2.22;0;276.7;0;
1573219946585;Player;-0.81;0.9799999;-2.22;0;276.7;0;
1573219946585;Player;-0.81;0.9799999;-2.22;0;276.7;0;
1573219946603;Player;-0.81;0.9799999;-2.22;0;276.7;0;
1573219946603;Player;-0.81;0.9799999;-2.22;0;276.7;0;
1573219946619;Player;-0.81;0.9799999;-2.22;0;276;0;
1573219946619;Player;-0.81;0.9799999;-2.22;0;276;0;
1573219946636;Player;-0.81;0.9799999;-2.22;0;274.8;0;
1573219946636;Player;-0.81;0.9799999;-2.22;0;274.8;0;
1573219946653;Player;-0.81;0.9799999;-2.22;0;274;0;
1573219946653;Player;-0.81;0.9799999;-2.22;0;274;0;
1573219946670;Player;-0.81;0.9799999;-2.22;0;273.8;0;
1573219946670;Player;-0.81;0.9799999;-2.22;0;273.8;0;
1573219946687;Player;-0.81;0.9799999;-2.22;0;273.5;0;
1573219946687;Player;-0.81;0.9799999;-2.22;0;273.5;0;
1573219946704;Player;-0.81;0.9799999;-2.22;0;273.5;0;
1573219946704;Player;-0.81;0.9799999;-2.22;0;273.5;0;
1573219946721;Player;-0.81;0.9799999;-2.22;0;271.9;0;
1573219946721;Player;-0.81;0.9799999;-2.22;0;271.9;0;
1573219946737;Player;-0.81;0.9799999;-2.22;0;268.8;0;
1573219946737;Player;-0.81;0.9799999;-2.22;0;268.8;0;
1573219946754;Player;-0.81;0.9799999;-2.22;0;265.9;0;
1573219946754;Player;-0.81;0.9799999;-2.22;0;265.9;0;
1573219946771;Player;-0.81;0.9799999;-2.22;0;263.9;0;
1573219946771;Player;-0.81;0.9799999;-2.22;0;263.9;0;
1573219946787;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946787;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946804;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946804;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946820;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946820;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946838;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946838;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946854;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946854;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946871;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946871;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946888;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946888;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946904;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946904;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946922;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946922;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946938;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946938;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946955;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946955;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946971;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946971;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946988;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219946988;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947005;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947005;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947022;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947022;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947039;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947039;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947055;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947055;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947073;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947073;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947090;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947090;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947107;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947107;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947123;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947123;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947139;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947139;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947157;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947157;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947173;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947173;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947190;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947190;Player;-0.81;0.9799999;-2.22;0;263.4;0;
1573219947207;Player;-0.81;0.9799999;-2.22;0;265;0;
1573219947207;Player;-0.81;0.9799999;-2.22;0;265;0;
1573219947224;Player;-0.81;0.9799999;-2.22;0;270.2;0;
1573219947224;Player;-0.81;0.9799999;-2.22;0;270.2;0;
